date,high,low,close
10/17/2025,65260199.82,61549973.91,63892608.33
10/18/2025,64649816.86,63493868.79,64415055.1
10/19/2025,66678031.97,64138292.76,66678031.97
10/20/2025,67622653.35,65230553.85,66006489.36
10/21/2025,67630316.25,63916978.29,64784822.3
10/22/2025,64502896.58,62260893.72,62260893.72
10/23/2025,63189437.18,63189437.18,63189437.18
10/24/2025,66185211.51,64008135.88,65313955.78
10/25/2025,65834369.43,65050919.83,65834369.43
10/26/2025,69193615.09,65269449.62,69193615.09
10/27/2025,70383058.1,67641386.63,67641386.63
10/28/2025,67753761.58,67753761.58,67753761.58
